classe;cote_range;description
D;D25.A2;Dictionaries. Chronological tables, etc.
D;D25.A3-Z;General works
D;D25.5;General special
D;D25.9;Pamphlets, etc.
D;D27;Naval history
D;D31;General works
D;D32;General special
D;D33;Pamphlets, etc.
D;D34.A-Z;Relations between Europe and individual countries, A-Z
D;D51;Periodicals. Societies. Serials
D;D52;Sources and documents
D;D53.A2;Several authors
D;D53.A3-Z;Individual authors
D;D54;Dictionaries
D;D54.5;Chronological tables, etc.
D;D55;Biography (Collective)
D;D56;General works
D;D56.5;Collective
D;D56.52.A-Z;Individual, A-Z
D;D56.52.H45;Herodotus
D;D57;1525-
D;D58;Works by classical historians
D;D59;Compends. Textbooks. Outlines. Syllabi. Questions
D;D60;Addresses, essays, lectures
D;D62;General special
D;D65;General works
D;D70;Celts. Celtic antiquities
D;D78;Early works through 1700
D;D80;1701-
D;D85.A-Z;Special topics, A-Z
D;D85.B7;Bow and arrow
D;D85.F5;Fibulas (Jewelry)
D;D90.A-Z;Ancient peoples not limited to one country, A-Z
D;D95;Naval history
D;D101;Sources and documents
D;D101.2;Minor collections
D;D101.5;Dictionaries. Albums
D;D101.7;Chronological tables, etc.
D;D102;General works
D;D103;Compends. Textbooks. Outlines. Syllabi. Questions
D;D104;General special
D;D104.5;Military history
D;D105;Political and diplomatic history
D;D106;Collective
D;D107;Rulers, kings, etc.
D;D107.3;Queens. Women rulers. Women heads of state
D;D107.5;Princes and princesses
D;D107.6;Claimants to royalty. Pretenders
D;D107.7;Favorites
D;D107.9;Houses, noble families, etc.
D;D108;Public men
D;D109;Women
D;D110;Other special classes
D;D110.5;Other
D;D111;Periodicals. Societies. Serials
D;D113;General works
D;D113.5;Minor collections
D;D114;Dictionaries
D;D115;Biography (Collective)
D;D116;General works
D;D116.5;Collective
D;D116.7.A-Z;Individual, A-Z
D;D117.A2;Early
D;D117.A3-Z;General works
D;D118;Compends. Textbooks. Outlines. Syllabi. Questions
D;D119;Addresses, essays, lectures
D;D121;General works
D;D123;9th-10th centuries
D;D125;Antiquities
D;D128;Military and naval history
D;D131;General works
D;D134;The medieval city
D;D135;General works
D;D137;Goths (General). Visigoths
D;D138;Ostrogoths
D;D139;Vandals
D;D141;General works
D;D143;Battle of Chalons, 451
D;D145;Lombards
D;D147;Slavs
D;D148;Normans
D;D149;Other special
D;D151;Collections of chronicles, etc.
D;D152;Individual chronicles
D;D153;Statutes, registers, etc.
D;D155;Dictionaries
D;D156;Collective
D;D156.5;Peter, the Hermit
D;D156.58;Historiography
D;D157;General works
D;D158;Compends. Textbooks. Outlines. Syllabi. Questions
D;D159;Addresses, essays, lectures
D;D160;Other
D;D161;Sources
D;D161.1;Memoirs and contemporary accounts
D;D161.2;General works
D;D161.3;Pamphlets, etc.
D;D161.5.A-Z;Part taken by individual countries, A-Z
D;D162;Sources
D;D162.1;Memoirs and contemporary accounts
D;D162.2;General works
D;D162.3;Pamphlets, etc.
D;D162.5.A-Z;Part taken by individual countries, A-Z
D;D163.A2;Sources
D;D163.A3;Memoirs and contemporary accounts
D;D163.A4-Z;General works
D;D163.3;Pamphlets, etc.
D;D163.5.A-Z;Part taken by individual countries, A-Z
D;D164.A2;Sources
D;D164.A3;Memoirs and contemporary accounts
D;D164.A4-Z;General works
D;D164.3;Pamphlets, etc.
D;D164.5.A-Z;Part taken by individual countries, A-Z
D;D165;Fifth crusade, 1217-1221
D;D166;Sixth crusade, 1228-1229
D;D166.5;Crusade, 1239-1241. Baron's Crusade, 1239-1241
D;D167;Seventh crusade, 1248-1250
D;D168;Eighth crusade, 1270
D;D169;Children's crusade, 1212
D;D171;General works
D;D172;General special
D;D173;Crusades in the west
D;D175;Periodicals. Societies. Serials
D;D176;Sources and documents
D;D177;Chronicles
D;D178;Several authors
D;D179;Individual authors
D;D180;Collective
D;D181.A-Z;Individual, A-Z
D;D181.P5;Philippe, of Novara
D;D182.A2;Early through 1800
D;D182.A3-Z;1801-
D;D183;General special
D;D183.3;Godfrey of Bouillon, 1099
D;D183.5;Baldwin I, 1100-1118
D;D183.7;Baldwin II, 1118-1131
D;D183.9;Foulque, 1131-1143
D;D184;Baldwin III, 1143-1162
D;D184.3;Amalric I, 1162-1174
D;D184.4;Baldwin IV, 1174-1183
D;D184.5;Baldwin V, 1183-1192
D;D184.7;Guy of Lusignan, 1186-1192
D;D184.75;Sibyl, Queen of Jerusalem, 1186-1190
D;D184.8;Conquest of Jerusalem by Saladin, 1187
D;D184.9;Conrad of Montferrat, 1192
D;D185;Henry I (II of Champagne), 1192-1197
D;D185.3;Amalric II, 1197-1205
D;D185.5;Mary, 1205-1210
D;D185.7;John of Brienne, 1210-1225
D;D186;Frederick II, 1225-1250
D;D186.3;Conrad IV, 1250-1254
D;D186.5;Conradin, 1254-1268
D;D187;Hugh I (III of Cyprus), 1269-1284
D;D187.3;John, 1284-1285
D;D187.5;Henry II, 1285-1291
D;D190;Edessa
D;D192;Antioch
D;D194;Tripoli
D;D195.A-Z;Other, A-Z
D;D195.S9;Syria
D;D200;General works
D;D201;General works
D;D201.3;Sources and documents. Contemporary works
D;D201.4;General works
D;D201.7;Sources and documents. Contemporary works
D;D201.8;General works
D;D202;General works
D;D202.3;Sources and documents. Contemporary works
D;D202.4;General works
D;D202.7;Sources and documents. Contemporary works
D;D202.8;General works
D;D203;15th century
D;D205;Dictionaries
D;D206;Historiography
D;D208;General works
D;D209;Compends. Textbooks. Outlines
D;D210;General special. Addresses, essays, lectures
D;D212;General works
D;D212.2.A-Z;Individual elements in the population not limited to special territorial divisions, A-Z
D;D212.2.B53;Black people
D;D213;Pamphlets, etc.
D;D214;Military history
D;D215;Naval history
D;D217;Political and diplomatic history. European concert. Balance of power
D;D219;Periodicals. Serials
D;D220;General works
D;D221.A-Z;Reports and communications of ambassadors, etc.
D;D223;Several authors
D;D224;Individual authors
D;D226;General works
D;D226.3;Women
D;D226.6;Military and naval
D;D226.7;Rulers, kings, queens, etc.
D;D226.8.A-Z;Individual, A-Z
D;D226.8.C5;Christine, Consort of Francis I, Duke of Lorraine
D;D228;General works
D;D229;Pamphlets, etc.
D;D231;General special
D;D233;General works
D;D233.2.A-Z;Individual elements in the population not limited to special territorial divisions, A-Z
D;D233.2.B44;Black people
D;D233.2.I75;Irish
D;D233.2.M87;Muslims
D;D233.2.S74;Scots
D;D234;Political and diplomatic history
D;D242;Sources and documents
D;D244;General works
D;D244.3;Women
D;D244.5;Public men
D;D244.6;Military and naval
D;D244.7;Rulers, kings, queens, etc.
D;D244.8.A-Z;Individual, A-Z
D;D244.8.E4;Elizabeth of England, Consort of Frederick I, King of Bohemia
D;D244.8.F4;Feuquières family
D;D246;General works
D;D247;General special
D;D251;Sources and documents
D;D256.A-Z;Memoirs, A-Z
D;D258;General works
D;D259;Pamphlets, etc.
