classe;cote_range;description
N;N4877;San Jose (Table N10)
N;N4879;1873 (Table N10)
N;N4880;1875 (Table N10)
N;N4883;1910 (Table N10)
N;N4883.2;Later (by date) (Table N10)
N;N4883.5;São Paulo (Table N10)
N;N4884;Saragossa (Table N10)
N;N4885;Schwerin (Table N10)
N;N4888;Seattle (Table N10)
N;N4892;Seoul (Table N10)
N;N4894;Seville (Table N10)
N;N4896;Shanghai (Table N10)
N;N4910;Stockholm (Table N10)
N;N4920;Sydney (Table N10)
N;N4937;Tokyo (Table N10)
N;N4940;Toronto (Table N10)
N;N4944;Trieste (Table N10)
N;N4947;Turin (Table N10)
N;N4949;Valladolid (Table N10)
N;N4951;Valparaiso (Table N10)
N;N4955;Venice (Table N10)
N;N4960;1873 (Table N10)
N;N4961;Later (by date) (Table N10)
N;N4975;Warsaw (Table N10)
N;N4983;Washington (Table N10)
N;N4990;Yokohama (Table N10)
N;N4992;Zagreb (Agram) (Table N10)
N;N4995;Zurich (Table N10)
N;N5015.A-Z;Societies not limited to one city. By name, A-Z
N;N5020.A-Z;Exhibitions in special cities. By city and by museum or other place of exhibition, A-Z
N;N5030.A-Z;Other American exhibitions. By city, A-Z
N;N5050;Collective
N;N5051;Collective
N;N5053;Collective
N;N5054;Royal Academy
N;N5055.A-Z;Other London exhibitions. By museum, A-Z
N;N5056.A-Z;Other British cities. By city, A-Z
N;N5060.A-Z;Austria. By city or other place of exhibition, A-Z
N;N5061.A-Z;Belgium. By city or other place of exhibition, A-Z
N;N5062.A-Z;Denmark. By city or other place of exhibition, A-Z
N;N5063;Collective
N;N5064;Collective
N;N5065;The two salons
N;N5066;Salon of the Société des artistes français
N;N5067;Salon of the Société nationale des beaux-arts
N;N5068.A-Z;Other Paris exhibitions. By museum, A-Z
N;N5069.A-Z;Other French cities. By city, A-Z
N;N5070.A-Z;Germany. By city or other place of exhibition, A-Z
N;N5071.A-Z;Greece. By city or other place of exhibition, A-Z
N;N5072.A-Z;Holland. By city or other place of exhibition, A-Z
N;N5072.5;Collective
N;N5073.A-Z;Individual exhibitions. By city or other place of exhibition, A-Z
N;N5074.A-Z;Norway. By city or other place of exhibition, A-Z
N;N5075.A-Z;Portugal. By city or other place of exhibition, A-Z
N;N5076.A-Z;Russia. By city or other place of exhibition, A-Z
N;N5076.5;Collective
N;N5077.A-Z;Individual exhibitions. By city or other place of exhibition, A-Z
N;N5078.A-Z;Sweden. By city or other place of exhibition, A-Z
N;N5079.A-Z;Switzerland. By city or other place of exhibition, A-Z
N;N5080.A-Z;Other European. By city or other place of exhibition, A-Z
N;N5085.A-Z;Asia. By city or other place of exhibition, A-Z
N;N5090.A-Z;Africa. By city or other place of exhibition, A-Z
N;N5095.A-Z;Australia. By city or other place of exhibition, A-Z
N;N5097.A-Z;New Zealand. By city or other place of exhibition, A-Z
N;N5098.A-Z;Pacific islands. By city or other place of exhibition, A-Z
N;N5198;Periodicals
N;N5200;General works
N;N5201;General works
N;N5201.5.A-Z;By region or state, A-Z
N;N5202.A-Z;Other regions or countries, A-Z
N;N5203;Collectors' marks
N;N5205;General works
N;N5205.5;General works
N;N5205.7.A-Z;By region or country, A-Z
N;N5206;General works
N;N5207;General works
N;N5207.5.A-Z;Special. By collector or patron, A-Z
N;N5208.A-Z;Other regions or countries, A-Z
N;N5210;General works
N;N5213;General works
N;N5215;General works
N;N5216.A-Z;By region or state, A-Z
