classe;cote_range;description
PN;PN56.5.F44;Femmes fatales
PN;PN56.5.F53;Flaneurs
PN;PN56.5.F64;Fools and jesters
PN;PN56.5.G53;Giants
PN;PN56.5.H35;Handicapped. People with disabilities
PN;PN56.5.H45;Heroes
PN;PN56.5.I55;Immigrants
PN;PN56.5.I57;Intellectuals
PN;PN56.5.K44;Kings and rulers
PN;PN56.5.K48;Knights
PN;PN56.5.L3;Lawyers
PN;PN56.5.M37;Marranos
PN;PN56.5.M4;Men
PN;PN56.5.M44;Mentally handicapped. People with mental disabilities
PN;PN56.5.M46;Merchants
PN;PN56.5.M5;Miners
PN;PN56.5.M53;Missionaries
PN;PN56.5.M67;Mothers
PN;PN56.5.M87;Muslims
PN;PN56.5.N66;Nomads
PN;PN56.5.O95;Outsiders
PN;PN56.5.P35;Parasites (Social sciences)
PN;PN56.5.P37;Passersby
PN;PN56.5.P4;Peasants
PN;PN56.5.P56;Physicians
PN;PN56.5.P66;Popes
PN;PN56.5.P69;Princesses
PN;PN56.5.P7;Printers
PN;PN56.5.P74;Prostitutes
PN;PN56.5.P75;Protagonists
PN;PN56.5.P8;Psychologists
PN;PN56.5.R63;Rogues and vagabonds
PN;PN56.5.S35;Scientists
PN;PN56.5.S54;Sibyls
PN;PN56.5.S75;Strangers
PN;PN56.5.S78;Students
PN;PN56.5.T73;Translators
PN;PN56.5.T74;Trickster
PN;PN56.5.T85;Twins
PN;PN56.5.V48;Vikings
PN;PN56.5.V5;Villains
PN;PN56.5.W46;White collar workers
PN;PN56.5.W5;Wild men
PN;PN56.5.W56;Witches
PN;PN56.5.W64;Women
